"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,1,0,4.9351e-05,0,-0.5
1,0,0,1,1,0.01,4.9351e-05,0,-0.49
1,0,0,1,1,0.02,4.9351e-05,0,-0.48
0.99999,0,0,1,1,0.03,4.9351e-05,0,-0.47
0.99999,0,0,1,1,0.04,4.9351e-05,0,-0.46
0.99999,0,0,1,1,0.05,4.9351e-05,0,-0.45
1,0,0,1,1,0.06,4.9351e-05,0,-0.44
1,0,0,1,1,0.07,4.9351e-05,0,-0.43
1,0,0,1,1,0.08,4.9351e-05,0,-0.42
1,0,0,1,1,0.09,4.9351e-05,0,-0.41
1,0,0,1,1,0.1,4.9351e-05,0,-0.4
1,0,0,1,1,0.11,4.9351e-05,0,-0.39
1,0,0,1,1,0.12,4.9351e-05,0,-0.38
1,0,0,1,1,0.13,4.9351e-05,0,-0.37
1,0,0,1,1,0.14,4.9351e-05,0,-0.36
0.99998,0,0,1,1,0.15,4.9351e-05,0,-0.35
0.99993,0,0,1,1,0.16,4.9351e-05,0,-0.34
0.99986,0,0,1,1,0.17,4.9351e-05,0,-0.33
0.99974,0,0,1,1,0.18,4.9351e-05,0,-0.32
0.99959,0,0,1,1,0.19,4.9351e-05,0,-0.31
0.99935,0,0,1,1,0.2,4.9351e-05,0,-0.3
0.99904,0,0,1,1,0.21,4.9351e-05,0,-0.29
0.9986,0,0,1,1,0.22,4.9351e-05,0,-0.28
0.99796,0,0,1,1,0.23,4.9351e-05,0,-0.27
0.99718,0,0,1,1,0.24,4.9351e-05,0,-0.26
0.99605,0,0,1,1,0.25,4.9351e-05,0,-0.25
0.99468,0,0,1,1,0.26,4.9351e-05,0,-0.24
0.99275,0,0,1,1,0.27,4.9351e-05,0,-0.23
0.99041,0,0,1,1,0.28,4.9351e-05,0,-0.22
0.98739,0,0,1,1,0.29,4.9351e-05,0,-0.21
0.98348,0,0,1,1,0.3,4.9351e-05,0,-0.2
0.97882,0,0,1,1,0.31,4.9351e-05,0,-0.19
0.97286,0,0,1,1,0.32,4.9351e-05,0,-0.18
0.96565,0,0,1,1,0.33,4.9351e-05,0,-0.17
0.95673,0,0,1,1,0.34,4.9351e-05,0,-0.16
0.94635,0,0,1,1,0.35,4.9351e-05,0,-0.15
0.93422,0,0,1,1,0.36,4.9351e-05,0,-0.14
0.92001,0,0,1,1,0.37,4.9351e-05,0,-0.13
0.90318,0,0,1,1,0.38,4.9351e-05,0,-0.12
0.88519,0,0,1,1,0.39,4.9351e-05,0,-0.11
0.8636,0,0,1,1,0.4,4.9351e-05,0,-0.1
0.8398,0,0,1,1,0.41,4.9351e-05,0,-0.09
0.81368,0,0,1,1,0.42,4.9351e-05,0,-0.08
0.78482,0,0,1,1,0.43,4.9351e-05,0,-0.07
0.75398,0,0,1,1,0.44,4.9351e-05,0,-0.06
0.72038,0,0,1,1,0.45,4.9351e-05,0,-0.05
0.68744,0,0,1,1,0.46,4.9351e-05,0,-0.04
0.64989,0,0,1,1,0.47,4.9351e-05,0,-0.03
0.61254,0,0,1,1,0.48,4.9351e-05,0,-0.02
0.57327,0,0,1,1,0.49,4.9351e-05,0,-0.01
0.5343,0,0,1,1,0.5,4.9351e-05,0,0
0.49375,0,0,1,1,0.51,4.9351e-05,0,0.01
0.45451,0,0,1,1,0.52,4.9351e-05,0,0.02
0.41538,0,0,1,1,0.53,4.9351e-05,0,0.03
0.37784,0,0,1,1,0.54,4.9351e-05,0,0.04
0.34217,0,0,1,1,0.55,4.9351e-05,0,0.05
0.30581,0,0,1,1,0.56,4.9351e-05,0,0.06
0.27379,0,0,1,1,0.57,4.9351e-05,0,0.07
0.24296,0,0,1,1,0.58,4.9351e-05,0,0.08
0.2127,0,0,1,1,0.59,4.9351e-05,0,0.09
0.18599,0,0,1,1,0.6,4.9351e-05,0,0.1
0.16209,0,0,1,1,0.61,4.9351e-05,0,0.11
0.14047,0,0,1,1,0.62,4.9351e-05,0,0.12
0.12065,0,0,1,1,0.63,4.9351e-05,0,0.13
0.10252,0,0,1,1,0.64,4.9351e-05,0,0.14
0.086907,0,0,1,1,0.65,4.9351e-05,0,0.15
0.072774,0,0,1,1,0.66,4.9351e-05,0,0.16
0.061274,0,0,1,1,0.67,4.9351e-05,0,0.17
0.050861,0,0,1,1,0.68,4.9351e-05,0,0.18
0.041922,0,0,1,1,0.69,4.9351e-05,0,0.19
0.034564,0,0,1,1,0.7,4.9351e-05,0,0.2
0.028249,0,0,1,1,0.71,4.9351e-05,0,0.21
0.023053,0,0,1,1,0.72,4.9351e-05,0,0.22
0.018188,0,0,1,1,0.73,4.9351e-05,0,0.23
0.014749,0,0,1,1,0.74,4.9351e-05,0,0.24
0.011791,0,0,1,1,0.75,4.9351e-05,0,0.25
0.0093048,0,0,1,1,0.76,4.9351e-05,0,0.26
0.0073353,0,0,1,1,0.77,4.9351e-05,0,0.27
0.0058163,0,0,1,1,0.78,4.9351e-05,0,0.28
0.0044772,0,0,1,1,0.79,4.9351e-05,0,0.29
0.003486,0,0,1,1,0.8,4.9351e-05,0,0.3
0.002708,0,0,1,1,0.81,4.9351e-05,0,0.31
0.0020603,0,0,1,1,0.82,4.9351e-05,0,0.32
0.0015708,0,0,1,1,0.83,4.9351e-05,0,0.33
0.0011918,0,0,1,1,0.84,4.9351e-05,0,0.34
0.00089433,0,0,1,1,0.85,4.9351e-05,0,0.35
0.00067515,0,0,1,1,0.86,4.9351e-05,0,0.36
0.00050628,0,0,1,1,0.87,4.9351e-05,0,0.37
0.00037718,0,0,1,1,0.88,4.9351e-05,0,0.38
0.00028204,0,0,1,1,0.89,4.9351e-05,0,0.39
0.00020612,0,0,1,1,0.9,4.9351e-05,0,0.4
0.00015185,0,0,1,1,0.91,4.9351e-05,0,0.41
0.00011124,0,0,1,1,0.92,4.9351e-05,0,0.42
8.0938e-05,0,0,1,1,0.93,4.9351e-05,0,0.43
5.8711e-05,0,0,1,1,0.94,4.9351e-05,0,0.44
4.1829e-05,0,0,1,1,0.95,4.9351e-05,0,0.45
3.028e-05,0,0,1,1,0.96,4.9351e-05,0,0.46
2.1899e-05,0,0,1,1,0.97,4.9351e-05,0,0.47
1.5638e-05,0,0,1,1,0.98,4.9351e-05,0,0.48
1.1703e-05,0,0,1,1,0.99,4.9351e-05,0,0.49
9.7938e-06,0,0,1,1,1,4.9351e-05,0,0.5
